index,종류별,상황별,재료별,방법별,글 제목,레시피이름,조회수,조리시간,난이도,인분,재료,소개글,조리순서
27091,메인반찬,일상,채소류,굽기,감자전 만들기 강판으로 바삭하게,감자전,179,20분 이내,아무나,2인분,"[('감자', '2알'), ('청양고추', '1/2개'), ('소금', '1꼬집'), ('부침가루', '1큰술')]","감자전 강판에 갈아 만들었더니 간장에 콕콕 찍어 먹으면 쫀득한 맛이 일품이예요. 홍고추나 청양고추를 올려 데코를 해도 좋고, 쑥갓을 올려 모양을 내도 아주 예쁩니다. 보기 좋은 떡이 몸에도 좋잖아요! 오늘처럼 비오는 날, 여름에 먹기 아주 좋은 감자전 만들기 어렵지 않으니 천천히 따라오세요 :D","[{'step_number': 1, 'description': '감자는 흐르는 물에 세척하여 껍질을 제거해서 준비하고, 청양고추는 생략해도 됩니다. 모양과 약간 매콤한 맛이 있으면 더 맛있는 감자전 만들기가 가능하기 때문에 저는 청양고추 반개를 썰어 준비했어요. 취향에 따라 홍고추나 쑥갓을 사용해도 되고, 생략해도 괜찮습니다.감자칼 , 스텐트레이', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/07/06/b435a31f5b7dbf1a23bf0c51cdbcd5101.jpg'}, {'step_number': 2, 'description': '감자전 만들기 강판에 가는 것부터 시작해요. 채썬 감자전도 좋지만 손이 조금 더 가더라도 강판에 간 감자전이 쫄깃해서 더 좋더라고요. 강판에 간 감자는 걸러서 물은 버리고 전분만 사용하는게 정석인데요.볼 , 강판', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/07/06/c791f8f017aab9c9913a06c15972e8b31.jpg'}, {'step_number': 3, 'description': '조금 귀찮기도 하고, 번거롭기도 하고, 그렇게 미식가는 아니라 조금 편법을 씁니다. 부침가루나 감자전분 한숟가락 턱 넣어주면 따로 거르고 섞고 할 필요도 없이 너무 간편해요. 이 때 소금도 한꼬집, 약간 넣어주면 은은한 간이 되어 더욱 맛있는데요. 감자전은 양념간장에 콕콕 찍어먹으면 더욱 맛있으니 간을 많이 하지는 마세요.스푼', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/07/06/aa2aac66547c5772ae00ac0e04db674d1.jpg'}, {'step_number': 4, 'description': '기름을 두르고 중불로 달군 팬에 감자전 반죽을 한숟가락씩 올려 살살 펴줍니다. 반죽을 올리고선 불을 중약불로 줄여주세요. 강판에 갈아 만든 반죽이기때문에 금방 익지만 노릇하고 쫀득하게 만들기 위해, 그리고 타지 않게 하려면 중약불!프라이팬', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/07/06/3f1e70e14c34cc3a58f3244fc48c37fc1.jpg'}, {'step_number': 5, 'description': '감자전 반죽을 올리고 가운데에 얇게 썬 청양고추를 올려주세요. 기호에 따라 생략해도 괜찮고, 다른 재료를 올려도 좋습니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/07/06/2558a052406e4f2c2549a8b19b6daa6c1.jpg'}, {'step_number': 6, 'description': '감자전 반죽 가운데를 제외하고 하얗게, 불투명하게 익으면 뒤집어도 좋은데요. 뒤집고 나서는 불을 약불로 줄였다가, 다시 중약불로 올려 부쳐내면 감자전 만들기 완성입니다. 조금 더 바삭하게 즐기고 싶다면 다시 뒤집어서 한번 더 노릇하게 부쳐내면 됩니다.뒤집개', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/07/06/c99d7f8e7faed12b485b6936236bb3bb1.jpg'}, {'step_number': 7, 'description': '감자를 두개나 갈았는데, 부침가루도 섞었는데.. 감자전이 다섯개밖에 나오지 않았어요. 열심히 강판에 갈아서 부친 감자전인데 정말 슬프지만.. 그래서 그런지 더욱 맛이 좋아요. 노릇노릇 쫀득쫀득 바삭하게 부쳐내서 아주 고소하고요. 제철 감자로 만들어서 더더 맛있어요.접시', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/07/06/d4ba027dcff708868f4ab6e7ef7a75161.jpg'}]"
27092,메인반찬,일상,채소류,굽기,[감자오믈렛],감자오믈렛,116,30분 이내,아무나,6인분 이상,"[('감자', '2kg'), ('계란', '60ea'), ('크로아상', '10ea'), ('피자치즈', '100g'), ('우유', '500ml'), ('소금', '100g'), ('설탕', '100g'), ('파슬리가루', '50g')]",안녕하세요! 이급식입니다. 오늘은 감자를 이용해서 감자오믈렛을 만들어 보겠습니다. ​ 그럼 밥하러 가! 보시죠!,"[{'step_number': 1, 'description': '계란을 깨고 우유, 설탕, 소금을 넣고 섞어 주세요.볼 , 조리용스푼', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/08/20/2aadbd58aa02529d9587d63b7c1747101.jpg'}, {'step_number': 2, 'description': '감자는 얇게 슬라이스해서 준비해 주세요.채칼', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/08/20/1c99855dacad29e41fca9b017b5e62ab1.jpg'}, {'step_number': 3, 'description': '오븐 팬에 빵을 잘라 깔고 그 위에 슬라이스 한 감자를 펴 올려주세요.오븐팬', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/08/20/c9942f3505fc1beff0f04c3ad50ae36c1.jpg'}, {'step_number': 4, 'description': '풀어놓은 계란을 부어주고 피자치즈를 설렁설렁 올려 오븐에 찜이 능으로 30분, 180도로 10분 구워주세요.오븐', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/08/20/c67e3c6fd2ad784d6e393c275deec8181.jpg'}, {'step_number': 5, 'description': '파슬리 가루를 뿌려주면 완성.접시', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2024/08/20/28378106ef708566fe9f8a4b7f4b5b051.jpg'}]"
27093,메인반찬,일상,채소류,굽기,비타민고추 치즈구이...오이 아삭이 고추로도 가능해용~~,None,"3,520",None,None,None,"[('비타민고추                                                                                오이 아삭이고추', '1팩'), ('소고기다짐육', '100g'), ('두부', '1/4모'), ('양파', '1/2개'), ('당근', '1/3개'), ('부추', '적당량'), ('마늘', '3톨'), ('파', '1대'), ('맛간장(진간장)', '1T'), ('후추', '적당량'), ('꿀', '1T'), ('참기름', '1T'), ('깨소금', '2t'), ('밀가루', '적당량'), ('체다치즈', '약간'), ('모짜렐라치즈', '약간')]",,[]
27094,메인반찬,일상,채소류,굽기,애호박구이와 양념간장:세상 쉬운데 세상 맛나다,애호박구이,"5,496",15분 이내,아무나,2인분,"[('애호박', ''), ('식용유', ''), ('양념간장', ''), ('양조간장', ''), ('참기름', ''), ('다진마늘', ''), ('다진파', ''), ('올리고당', '')]","애호박에 스며든 뜨거운 식용유맛과

단짠단짠 양념간장의 맛이 달큰한 애호박과 어우러져서
맛있는 화학적 반응을 불러일으키는 정말 신통방통한 음식:애호박구이와 양념장,반찬없는 날 만들어 보세요","[{'step_number': 1, 'description': '달군 팬에 식용유를 두르고 식용유 온도가 올라가면 2~3밀리두께로 썬 애호박을 올린다', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/01/e91dcb84ff1e79ecd0aef1fd293e4c511.jpg'}, {'step_number': 2, 'description': '애호박을 굽는 동안 휘리릭 만드는 양념장:\n대파+마늘+깨소금+양조간장+참기름을 기본으로 넣는데\n대파,마늘도 없으면 간장에 깨소금 많이와 참기름만 넣어도 상관없다\n단맛을 좋아하면 조청이나 양파청 등을 더해도 좋고고춧가루를 칼칼하게 넣어주어도 좋다', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/01/5fe0bdae512dfa41704d7fcb1e3155531.jpg'}, {'step_number': 3, 'description': '테두리가 진한 갈색빛이 돌면 뒤집어 똑같이 테두리가 진한 갈색빛이\n나도록 굽는다', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/01/36bab640be25c44be05318094552184b1.jpg'}, {'step_number': 4, 'description': '접시에 애호박구이를 담고 그 위에 양념간장을 뿌려낸다', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2017/03/01/658b4931ea6a32c10179b4bef2d2cec61.jpg'}]"
27095,메인반찬,일상,채소류,굽기,봄철 입맛돋는 가지구이 .,가지구이,"4,091",30분 이내,초급,3인분,"[('가지', '2개'), ('양파', '1/2개'), ('대파', '1줄기'), ('만가닥버섯', '60g'), ('굴소스', '1t'), ('다짐마늘', '1t'), ('소금', '1t')]","하이난여행가서 먹어본 가지구이가
부드럽고 맛있어서 가지를 부드럽고 맛있게 먹을수 있는 방법을 생각해보고 만들어봤어요 .
부드럽고 식감도 좋고 맛있네요","[{'step_number': 1, 'description': '가지두개를 냄비에 넣고 삶아주는데 가지가 물컹해질때 꺼냅니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/757b7de4b2f9820fabcb78403fa897181.jpg'}, {'step_number': 2, 'description': '그동안 만가닥버섯을 씻어 잘게 썰고', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/9f90db7b8ad83392209b2551215682721.jpg'}, {'step_number': 3, 'description': '양파반개도 잘개썰고', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/911f295331f2ed71e49914c6d49cc66c1.jpg'}, {'step_number': 4, 'description': '쪽파나 대파도 잘게썰고', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/4dfe1de0d8bb475b785a4626792c76801.jpg'}, {'step_number': 5, 'description': '버섯은 표고버섯을 잘게썰어 쓰셔도 됩니다 .', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/e6e762f99170609fc0e88051499e75a01.jpg'}, {'step_number': 6, 'description': '팬에 오일넣고 채소다 넣고 오일두릅니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/aa8bbd9f298573a3dee3e2e41865a86d1.jpg'}, {'step_number': 7, 'description': '마늘다짐 한수저넣고', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/28de04c550117bf77c4b09ec3dab98851.jpg'}, {'step_number': 8, 'description': '굴소스 한수저넣고', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/5e0ec8495064b5dbb20f7f9956fbabca1.jpg'}, {'step_number': 9, 'description': '센불로 볶습니다 .', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/0a401a74efe2eed862241702b11919e31.jpg'}, {'step_number': 10, 'description': '삶은가지를 꼭지를 따고\n반으로 자른후 세로를 가지 속을 드러내서', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/f879eb6c1605cb13372385e8b495b9781.jpg'}, {'step_number': 11, 'description': '가지를 잘게 썰어서', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/8ae51420f33c383f21e07affe85c5b5a1.jpg'}, {'step_number': 12, 'description': '가지겉를 편후 안에 썰은가지와 볶은채소를 넣고', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/27e71284442668ceac8d9ca304238e351.jpg'}, {'step_number': 13, 'description': '오븐에 자동구이로 구워줍니다.오븐', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/f9b037f807e90fc899e7a812b6e42d991.jpg'}, {'step_number': 14, 'description': '오븐이없으심 전자레인지로 3분 돌려주세요 .전자레인지', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/e7527c3e38a0ac08e6005829a7b6a2201.jpg'}, {'step_number': 15, 'description': '구운가지는 한번 데쳐서 겉도 부드럽고 비쥬얼도 훌륭해요 .', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/3aa642ca56502837d936b9bda8dc48711.jpg'}, {'step_number': 16, 'description': '홍고추가 있으심 잘게 썰어 올리셔도 좋아요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2018/04/27/e7d94a2facd4b9e18b68074d628a3a881.jpg'}]"
27096,메인반찬,일상,채소류,굽기,가지구이 만드는법- 딸에게# /돼지고기소보로 가지구이,None,"2,030",None,None,None,"[('가지', '2개'), ('돼지고기 소보로', '1T'), ('간장', '1'), ('다진파', '1t'), ('다진마늘', '1t'), ('홍고추', '조금'), ('통깨', ''), ('참기름', '조금')]",,[]
27097,메인반찬,일상,채소류,굽기,향긋한 건강반찬 고추장더덕구이:D,고추장더덕구이,"1,575",30분 이내,초급,2인분,"[('더덕', '2대접'), ('올리고당', '3숟가락'), ('깨', '약간'), ('쪽파', '약간'), ('정종', '2숟가락'), ('고추장', '3숟가락'), ('고춧가루', '1/2숟가락'), ('올리고당', '3숟가락'), ('매실액', '1숟가락'), ('까나리액젓', '1/2숟가락'), ('굴소스', '1/2숟가락'), ('후추', '넉넉히')]","제주도에 계신 외삼촌께서 제주도 더덕을 한박스 보내주셔서 엄마가 이것저것 해먹으라고 주셨어요.
양념해서 구워봤는데 달달한게 정말 향긋하고 맛있네요:D","[{'step_number': 1, 'description': '양념장 만들어두기.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/18/1bf4600c87e323beee42fa4edbee1b8c1.jpg'}, {'step_number': 2, 'description': '더덕은 필러로 껍질까서 물에 살짝 헹구고 위생봉투에 펼쳐서 담기.\n* 제주더덕이 워낙 달달하기도하고\n더덕 쌉싸름한 맛뺀다고 물에 담가두시면 고유의 맛이 죽어서 껍질만 까서 사용합니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/18/a918fe1d001d5a0c32292eb156326df31.jpg'}, {'step_number': 3, 'description': '밀대나 절구막대로 두들겨서 펴주기.\n* 어지간히 쳐도 물러지지 않습니다.\n부드러워지니까 충분히 두들겨주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/18/74ef06f9f70b8ab554e5853196dcb25e1.jpg'}, {'step_number': 4, 'description': '볼에 담고 올리고당 넣어 골고루 버무려두기.\n* 꿀로 대체하셔도 됩니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/18/5170621f91eb624a8407ba508a437c7e1.jpg'}, {'step_number': 5, 'description': '달궈진 팬에 기름 살짝 두르고 더덕 굽기.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/18/aa234acdf14dcb9a2dd6ecd8d997edd61.jpg'}, {'step_number': 6, 'description': '앞뒤 노릇해지면 양념 발라 굽기.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/18/1c6e4eb239a3cce244262868ef52dc991.jpg'}, {'step_number': 7, 'description': '뒤집어서 뒷면도 양념 발라 굽기.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/18/219642481c88af49a07ca78876f4b2f31.jpg'}, {'step_number': 8, 'description': '양념이 충분히 배게 굽고 접시에 담아 깨와 쪽파뿌리기.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/18/15f32cad61657826bccc994735d354711.jpg'}, {'step_number': 9, 'description': '※ 이 맛난 더덕으로 닭갈비를?! 레시피보기 →  @6906875', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/02/24/f1e27925f7f9c0f58f8d986cad5b31541.jpg'}]"
27098,메인반찬,일상,채소류,굽기,조선식 대파꼬치 총자방 만들기,대파꼬치,880,20분 이내,아무나,1인분,"[('대파', '1개'), ('물', '500ml'), ('식용유', '2숟갈'), ('부침가루', '3큰숟갈'), ('튀김가루', '3큰숟갈'), ('진간장', '2숟갈'), ('참기름', '1숟갈'), ('물', '200ml'), ('맛술', '2숟갈'), ('식초', '3숟갈')]","여러분 조선시대에도 이미 대파꼬치가 있었다는 걸 알고 계셨나요?
조선시대 서유구 선생님께서 쓰신 정조지라는 책에는 다양한 레시피가 있어요.
그중에 총자방이라는 대파꼬치가 있답니다.
오늘은 그 레시피를 사용해서 집에서도 쉽게 만들수 있는 총자방 만들기입니다.
서유구 선생님의 정조지에 나오는 레시피를 참고했어요.","[{'step_number': 1, 'description': '대파는 뿌리를 잘라내고 깔끔하게 씻어줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/8bc3f9057e27406a95584dbf581dccb11.jpg'}, {'step_number': 2, 'description': '그리고 균일한 길이로 썰어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/b80d0edf4ea2f336047bc431459ae3751.jpg'}, {'step_number': 3, 'description': '그리고 대파를 데칠 물을 팔팔 끓여줍니다.강불', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/1e1af7a89b7f457eddd1f32fcf04f4451.jpg'}, {'step_number': 4, 'description': '물이 끓으면 썰어둔 대파를 넣고 2분정도 데쳐줍니다.강불너무 오래 데치면 파가 질겨지니 주의하세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/b7fcde129cfa5f98997168fdb4a1c44b1.jpg'}, {'step_number': 5, 'description': '파를 데치는 동안 밀가루 반죽을 만들어봐요. 먼저 튀김가루와 부침가루를 섞은 후 간장을 넣어줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/9e56dcefb8aa65ba69b477c672eb6a091.jpg'}, {'step_number': 6, 'description': '그리고 참기름을 넣어주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/485c7d58ee0e2ea07fd070ec4a327d671.jpg'}, {'step_number': 7, 'description': '그리고 물을 넣어줍니다. 이때 물을 한번에 붓지 말고 농도를 보면서 넣어주시는데요. 농도는 약간 되직한 정도가 좋습니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/b9e484059c44bfb4d072de65d86051cf1.jpg'}, {'step_number': 8, 'description': '골고루 섞어주세요. 이때부터 간장과 참기름향이 솔솔 날거에요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/252f6f748db1fad8d4cfb8e90ad02d6e1.jpg'}, {'step_number': 9, 'description': '정조지에 보면 기름간장에 밀가루를 반죽하여 두껍게 바르라고 되어 있어요. 그래서 반죽은 약간 되직한게 좋습니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/09dccdb719b7db6c2d4e7d7a3cba3ee51.jpg'}, {'step_number': 10, 'description': '데친 대파는 건져내주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/3f3adf28434a0c61b68143126b443dab1.jpg'}, {'step_number': 11, 'description': '그리고 꼬치에 꽂아줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/4017e933e2b6390e74d917cb028e27bf1.jpg'}, {'step_number': 12, 'description': '꼬치에 꽂은 대파는 칼등으로 가볍게 찧어서 평평하게 눌러주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/1a7e1e00fd12571b1fb7048ae27b46611.jpg'}, {'step_number': 13, 'description': '평평하게 만들어준 대파꼬치에 반죽옷을 두껍게 발라줍니다.\n반죽이 되직하면 대파에 잘 붙어요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/da64ef00b58cd9a5e043263925a4a4901.jpg'}, {'step_number': 14, 'description': '식용유를 두른 팬에 대파꼬치를 올려서 노릇하게 구워줍니다.\n정조지에는 숯불에 굽는다고 되어 있는데 가정집에서 숯불을 피우기는 어려우니까요.중불', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/709eaf634dc76ca36592250e35dc9a481.jpg'}, {'step_number': 15, 'description': '모든 면이 노릇해질 수 있도록 골고루 뒤집으면서 구워주세요.중불', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/c2302ebca3cab4665445f7be1f384a081.jpg'}, {'step_number': 16, 'description': '그동안 소스를 만들거예요. 먼저 술을 준비해주시는데요.\n저는 술을 거의 못마셔서 맛술을 준비했습니다만, 드실 수 있는 분들은 좋은 한국 술을 준비해주세요.\n정조지에는 좋은 술이라고 언급됩니다.\n소주나 청주 등등 맑은 술을 사용하시면 됩니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/7d27fa9227508922f9f6b884833209bf1.jpg'}, {'step_number': 17, 'description': '술에 식초를 타주세요. 이때 식초의 상큼한 맛이 올라오고 끝에 알코올맛이 살짝 올라올 정도면 딱 좋은 비율이 됩니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/9d80a9da14eee83b10584fd8a0f6af8b1.jpg'}, {'step_number': 18, 'description': '술과 식초는 골고루 섞어두세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/9419c19ec9ce090a60568ed73f6232791.jpg'}, {'step_number': 19, 'description': '잘구워진 대파꼬치에 만들어둔 술식초를 뿌려주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/e1c08165b8ec65523fda69c0544f6e601.jpg'}, {'step_number': 20, 'description': '완성~!', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2022/11/01/af318fda84a9919a8874912b66d829ef1.jpg'}]"
27099,메인반찬,일상,채소류,굽기,아이들 반찬 투정엔 이런 가지요리 어떠세요?! 크림소스 가지구이,크림소스가지구이,"1,682",30분 이내,초급,1인분,"[('가지', '3개'), ('시판용 크림소스', '1개'), ('우유', '100ml'), ('양파', '1/2개'), ('양송이버섯', '2개'), ('다진마늘', '1큰술'), ('후추', ''), ('파마산치즈', ''), ('파슬리', '')]","오늘 만들어본 요리는 바로 가지를 이용해 
크림소스 가지구이를 만들어봤습니다.
물컹한 식감과 더불어 밋밋한 맛 때문에 
가지를 싫어하시는 분들이 주변에 꽤나 많은데요.
그래서 가지의 맛을 더욱 업그레이드 시켜줄 레시피를 준비해봤습니다.
담백하면서도 맛있는 크림소스에 
영양가득한 가지요리 한번 만들어보시는거는 어떠신가요?","[{'step_number': 1, 'description': '먼저 양파 1/2개와 양송이버섯 2개는 칼로 썰어줍니다.\n크림소스에 들어갈거라 다른재료들 추가하셔도 됩니다!\n베이컨, 피망, 해산물들 넣으셔도 좋아요', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/04/20/33ab9eda66ea06ce94e603200ed63ddc1.png'}, {'step_number': 2, 'description': '깨끗하게 씻은 가지는 \n팬에 식용유를 두르고 겉 표면이 노릇노릇하게 익혀주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/04/20/4a480d1f59d837e34badea89c725ffe51.png'}, {'step_number': 3, 'description': '가지가 노릇하게 익으면 \n물 100ml를 넣고 뚜껑을 닫고 약불로 \n4분간 익혀줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/04/20/7e95a6b2bf0e54ec34df4bfcbb4119601.png'}, {'step_number': 4, 'description': '다음은 크림소스를 만들어줍니다.\n올리브오일을 두르고, 다진마늘, 크림소스, \n양파, 양송이버섯, 우유 100ml를 넣고\n4-5분간 푹 끓여줍니다.유리통에 담겨있는 \n크림소스는 4~5큰술 정도 사용하시면 됩니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/04/20/998daa268d2a0d4218469cc0e8c189291.png'}, {'step_number': 5, 'description': '다 익은 가지는 \n세로로 길게 칼집을 내서 가운데 부분을 벌려줍니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/04/20/c6846421fa9f4c899215f18db58f197c1.png'}, {'step_number': 6, 'description': '가지 위에 크림소스 듬뿍 뿌려주시구요!', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/04/20/43f33ad8ff2fbdf2b0f53eb833d03bb51.png'}, {'step_number': 7, 'description': '마지막으로 파슬리, 파마산치즈가루 \n뿌려주시면 완성입니다.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/04/20/02ae1eb4177c69f1ced93d63f3396f191.png'}]"
27100,메인반찬,일상,채소류,굽기,아스파라거스 요리 베이컨말이 술안주로도 최고,아스파라거스베이컨말이,"1,513",15분 이내,초급,2인분,"[('아스파라거스', '4개'), ('베이컨', '4줄'), ('굵은소금', '1/2T')]","피로회복에 도움을 주는 아스파라거스
데쳐먹기도 하고 튀겨먹기도 하고 구워먹기도 하며 다양한 요리로 활용할 수 있는데요,
간단한 술안주로도 좋은 아스파라거스 베이컨말이 만들어봤어요.","[{'step_number': 1, 'description': '먼저 간단한 재료들을 준비해주세요.\n아스파라거스는 봉울가 단단하고 끝이 모여있는 형태가 좋은 아스파라거스랍니다.\n베이컨은 길다란 베이컨으로 준비해주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/07/22/e1809f1d6a02b403d0547b70e67c43061.jpg'}, {'step_number': 2, 'description': '아스파라거스는 봉우리 반대편은 살짝 칼로 잘라주고\n깨끗하게 씻어 필러로 껍질을 벗겨내주세요.껍질이 질긴 식감을 내기 때문에 제거해주는게 좋아요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/07/22/8dccd9fc169e45beabeef57826dc3d921.jpg'}, {'step_number': 3, 'description': '그냥 바로 익히면 아스파라거스를 익히기 힘들기 때문에\n먼저 살짝 데쳐주세요.\n끓는물에 굵은소금 1/2큰술을 넣어주고 두꺼운 부분인 뿌리부분부터 물에 넣어 데쳐주다가 10초정도 후 나머지 부분까지 넣어 약 20초에서 30초정도 데쳐주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/07/22/cdc56ec17ec6045bfa7ab6190cacdc621.jpg'}, {'step_number': 4, 'description': '데친 아스파라거스는 키친타월로 물기를 살짝 제거해주세요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/07/22/9472ded895dec6d61d5f9d4474905f2b1.jpg'}, {'step_number': 5, 'description': '베이컨은 아랫쪽부터 사선으로 두고 아스파라거스를 말아주세요.\n사선으로 돌돌돌 말아주면 끝까지 이렇게 두를 수 있어요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/07/22/933bbfd066da308becfb5f4b7135a4e11.jpg'}, {'step_number': 6, 'description': '마지막 부분은 아랫쪽으로 눌리도록 보관해주어야\n구울 때 한결 편하답니다.\n이때 최대한 꽉 말아주는게 좋은데요 굵기가 들쑥날쑥 하다보니 꽉 말아지지 않는 경우가 많아요.\n이렇게 굽게 되면 쉽게 풀리기 때문에 자신이 없으신 분들은\n이쑤시개로 고정해줘도 좋아요.', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/07/22/0bffd0a033ad97b3afe5a9d25912d6c71.jpg'}, {'step_number': 7, 'description': '기름은 살짝만 둘러 키친타월로 닦아내 겹쳐진 부분이 아랫쪽으로 가도록 아스파라거스 베이컨말이를 올려주세요.\n아스파라거스는 데쳐뒀기 때문에 베이컨이 익을 정도로만 구워주면 된답니다.\n중-약불에 노릇노릇 베이컨이 익어가면 불을 꺼주세요,중-약불', 'image_url': 'https://recipe1.ezmember.co.kr/cache/recipe/2019/07/22/79e87eb3a66667a02fea61f17339538e1.jpg'}]"
